item_id,dept_id,cat_id,avg_daily_demand,std_daily_demand,avg_price,annual_demand,total_revenue,safety_stock,reorder_point,eoq,abc_class,demand_cv,stockout_risk
HOUSEHOLD_1_032,HOUSEHOLD_1,HOUSEHOLD,3.72,3.89,10.8,1356.02,75654.39,17.0,44.0,793.0,A,1.05,Normal
FOODS_3_282,FOODS_3,FOODS,15.86,19.02,2.5,5787.91,74802.66,83.0,195.0,3401.0,A,1.2,Normal
FOODS_3_444,FOODS_3,FOODS,5.71,9.5,6.6,2082.53,70956.18,42.0,82.0,1257.0,A,1.67,High
FOODS_3_476,FOODS_3,FOODS,6.06,5.47,5.99,2212.27,68385.14,24.0,67.0,1360.0,A,0.9,Normal
FOODS_3_702,FOODS_3,FOODS,11.6,10.47,2.99,4233.03,65284.25,46.0,128.0,2663.0,A,0.9,Normal
FOODS_3_473,FOODS_3,FOODS,8.76,5.04,3.87,3196.12,63815.61,22.0,84.0,2034.0,A,0.58,Normal
FOODS_3_607,FOODS_3,FOODS,14.45,14.46,2.29,5273.81,62467.97,63.0,165.0,3391.0,A,1.0,Normal
FOODS_3_329,FOODS_3,FOODS,11.01,13.92,2.98,4017.9,61835.0,61.0,139.0,2597.0,A,1.26,Normal
FOODS_3_080,FOODS_3,FOODS,20.39,7.74,1.6,7443.29,61424.47,34.0,177.0,4827.0,A,0.38,Normal
HOUSEHOLD_1_272,HOUSEHOLD_1,HOUSEHOLD,3.24,3.07,9.97,1184.07,60966.55,14.0,37.0,771.0,A,0.95,Normal
FOODS_3_764,FOODS_3,FOODS,10.72,9.7,2.98,3912.37,60210.9,43.0,119.0,2563.0,A,0.91,Normal
FOODS_3_555,FOODS_3,FOODS,19.89,7.82,1.6,7259.92,59911.23,35.0,175.0,4767.0,A,0.39,Normal
FOODS_2_029,FOODS_2,FOODS,2.91,4.4,10.89,1061.11,59690.02,20.0,41.0,698.0,A,1.51,High
HOUSEHOLD_1_053,HOUSEHOLD_1,HOUSEHOLD,2.05,2.03,15.04,748.98,58166.1,9.0,24.0,500.0,A,0.99,Normal
FOODS_3_124,FOODS_3,FOODS,5.7,5.34,5.36,2082.15,57622.62,24.0,64.0,1394.0,A,0.94,Normal
HOBBIES_1_155,HOBBIES_1,HOBBIES,1.57,2.04,18.98,573.35,56199.78,9.0,20.0,389.0,A,1.3,Normal
FOODS_3_362,FOODS_3,FOODS,11.46,14.22,2.5,4184.24,54076.84,62.0,143.0,2892.0,A,1.24,Normal
FOODS_3_516,FOODS_3,FOODS,7.89,5.98,3.53,2878.76,52443.04,27.0,83.0,2021.0,A,0.76,Normal
HOUSEHOLD_1_494,HOUSEHOLD_1,HOUSEHOLD,3.47,2.35,7.97,1268.3,52203.5,11.0,36.0,893.0,A,0.68,Normal
FOODS_3_783,FOODS_3,FOODS,4.99,4.92,5.36,1820.74,50370.85,22.0,57.0,1304.0,A,0.99,Normal
FOODS_2_347,FOODS_2,FOODS,13.23,7.53,2.01,4829.62,50243.24,33.0,126.0,3463.0,A,0.57,Normal
FOODS_3_534,FOODS_3,FOODS,5.48,3.85,4.81,1998.69,49635.41,17.0,56.0,1442.0,A,0.7,Normal
FOODS_3_441,FOODS_3,FOODS,3.99,7.76,6.58,1457.48,49519.67,34.0,62.0,1053.0,A,1.94,High
FOODS_3_592,FOODS_3,FOODS,3.57,3.1,7.26,1301.61,48807.78,14.0,39.0,947.0,A,0.87,Normal
FOODS_3_744,FOODS_3,FOODS,12.06,6.88,2.08,4401.3,47316.99,30.0,115.0,3252.0,A,0.57,Normal
FOODS_3_697,FOODS_3,FOODS,8.14,4.32,3.03,2970.73,46530.78,19.0,76.0,2214.0,A,0.53,Normal
HOBBIES_1_078,HOBBIES_1,HOBBIES,1.95,2.03,12.47,711.8,45831.1,9.0,23.0,535.0,A,1.04,Normal
FOODS_3_499,FOODS_3,FOODS,9.66,10.91,2.5,3526.27,45573.29,48.0,116.0,2655.0,A,1.13,Normal
HOUSEHOLD_1_440,HOUSEHOLD_1,HOUSEHOLD,1.6,1.71,15.04,585.74,45492.07,8.0,20.0,442.0,A,1.06,Normal
FOODS_3_694,FOODS_3,FOODS,15.0,6.7,1.61,5474.61,45472.28,30.0,135.0,4126.0,A,0.45,Normal
FOODS_3_324,FOODS_3,FOODS,7.64,6.27,3.15,2789.49,45311.87,28.0,82.0,2106.0,A,0.82,Normal
FOODS_3_808,FOODS_3,FOODS,24.0,24.64,1.0,8758.84,45264.23,108.0,276.0,6616.0,A,1.03,Normal
FOODS_3_083,FOODS_3,FOODS,1.27,1.43,18.81,463.37,45003.06,7.0,16.0,351.0,A,1.13,Normal
FOODS_3_741,FOODS_3,FOODS,18.02,13.38,1.32,6577.55,44942.34,59.0,186.0,4986.0,A,0.74,Normal
HOBBIES_1_158,HOBBIES_1,HOBBIES,1.15,2.36,20.73,418.44,44796.67,11.0,20.0,318.0,A,2.06,High
FOODS_3_231,FOODS_3,FOODS,4.39,4.64,5.36,1601.16,44282.01,21.0,52.0,1223.0,A,1.06,Normal
FOODS_3_753,FOODS_3,FOODS,4.36,4.51,5.35,1592.64,44029.89,20.0,51.0,1220.0,A,1.03,Normal
HOUSEHOLD_1_110,HOUSEHOLD_1,HOUSEHOLD,6.42,6.89,3.6,2344.13,43528.36,30.0,75.0,1806.0,A,1.07,Normal
FOODS_3_079,FOODS_3,FOODS,3.84,4.19,5.99,1401.91,43348.97,19.0,46.0,1082.0,A,1.09,Normal
FOODS_3_156,FOODS_3,FOODS,5.75,4.15,3.87,2099.19,41917.58,19.0,60.0,1648.0,A,0.72,Normal
FOODS_3_318,FOODS_3,FOODS,16.57,19.46,1.33,6048.35,41503.61,85.0,201.0,4771.0,A,1.17,Normal
FOODS_3_695,FOODS_3,FOODS,5.5,4.07,3.99,2006.05,41380.92,18.0,57.0,1585.0,A,0.74,Normal
HOUSEHOLD_1_413,HOUSEHOLD_1,HOUSEHOLD,1.22,1.33,17.97,445.55,41348.97,6.0,15.0,353.0,A,1.09,Normal
FOODS_2_052,FOODS_2,FOODS,1.68,2.18,12.97,614.79,41182.53,10.0,22.0,487.0,A,1.3,Normal
HOUSEHOLD_1_140,HOUSEHOLD_1,HOUSEHOLD,1.43,1.38,15.04,522.04,40549.34,7.0,18.0,417.0,A,0.97,Normal
FOODS_3_455,FOODS_3,FOODS,9.34,10.09,2.29,3407.96,40367.02,44.0,110.0,2726.0,A,1.08,Normal
FOODS_3_491,FOODS_3,FOODS,15.38,13.33,1.39,5613.45,40198.14,59.0,167.0,4500.0,A,0.87,Normal
FOODS_3_723,FOODS_3,FOODS,15.2,13.6,1.38,5546.84,39666.88,60.0,167.0,4476.0,A,0.9,Normal
HOUSEHOLD_1_072,HOUSEHOLD_1,HOUSEHOLD,2.61,1.86,7.99,954.23,39398.64,9.0,28.0,773.0,A,0.71,Normal
FOODS_2_131,FOODS_2,FOODS,3.34,3.42,5.98,1220.47,37662.92,15.0,39.0,1011.0,A,1.02,Normal
FOODS_3_704,FOODS_3,FOODS,4.61,3.47,4.32,1684.42,37555.22,16.0,49.0,1397.0,A,0.75,Normal
HOBBIES_1_064,HOBBIES_1,HOBBIES,1.53,1.45,12.97,558.83,37442.35,7.0,18.0,465.0,A,0.95,Normal
FOODS_3_263,FOODS_3,FOODS,7.01,5.46,2.74,2558.68,36244.21,24.0,74.0,2160.0,A,0.78,Normal
FOODS_3_469,FOODS_3,FOODS,3.13,2.46,6.15,1140.89,36214.39,11.0,33.0,964.0,A,0.79,Normal
FOODS_3_681,FOODS_3,FOODS,17.45,16.64,1.1,6369.01,36214.35,73.0,196.0,5379.0,A,0.95,Normal
FOODS_3_541,FOODS_3,FOODS,18.95,19.37,1.0,6915.25,35736.87,85.0,218.0,5879.0,A,1.02,Normal
HOUSEHOLD_1_514,HOUSEHOLD_1,HOUSEHOLD,5.23,5.78,3.6,1910.2,35470.61,26.0,63.0,1630.0,A,1.1,Normal
HOUSEHOLD_1_469,HOUSEHOLD_1,HOUSEHOLD,1.04,1.2,17.97,379.91,35257.14,6.0,14.0,326.0,A,1.15,Normal
FOODS_3_368,FOODS_3,FOODS,3.13,3.44,5.98,1140.89,35256.04,15.0,37.0,977.0,A,1.1,Normal
HOBBIES_1_241,HOBBIES_1,HOBBIES,0.87,1.98,21.5,317.17,35224.75,9.0,16.0,272.0,A,2.28,High
FOODS_2_349,FOODS_2,FOODS,3.03,3.05,5.98,1104.68,34089.63,14.0,36.0,962.0,A,1.01,Normal
FOODS_3_635,FOODS_3,FOODS,18.0,19.35,1.0,6570.77,33949.12,85.0,212.0,5731.0,A,1.07,Normal
HOUSEHOLD_1_537,HOUSEHOLD_1,HOUSEHOLD,1.11,1.12,15.97,405.47,33441.18,5.0,13.0,357.0,A,1.01,Normal
FOODS_2_293,FOODS_2,FOODS,4.5,3.46,3.94,1641.05,33432.1,16.0,48.0,1443.0,A,0.77,Normal
FOODS_3_739,FOODS_3,FOODS,11.76,13.24,1.5,4293.25,33258.0,58.0,141.0,3783.0,A,1.13,Normal
FOODS_3_377,FOODS_3,FOODS,10.96,4.65,1.61,3999.12,33216.82,21.0,98.0,3526.0,A,0.42,Normal
FOODS_3_652,FOODS_3,FOODS,4.38,3.12,3.98,1599.61,32878.78,14.0,45.0,1418.0,A,0.71,Normal
HOUSEHOLD_1_373,HOUSEHOLD_1,HOUSEHOLD,5.07,3.58,3.41,1849.79,32543.55,16.0,52.0,1648.0,A,0.71,Normal
FOODS_3_039,FOODS_3,FOODS,4.27,4.38,4.04,1558.75,32532.25,20.0,50.0,1389.0,A,1.03,Normal
FOODS_3_822,FOODS_3,FOODS,4.32,4.14,3.93,1577.34,32045.37,19.0,50.0,1416.0,A,0.96,Normal
FOODS_3_389,FOODS_3,FOODS,10.59,5.27,1.6,3866.29,31905.89,23.0,98.0,3479.0,A,0.5,Normal
HOUSEHOLD_1_096,HOUSEHOLD_1,HOUSEHOLD,4.63,5.39,3.6,1690.62,31393.2,24.0,57.0,1534.0,A,1.16,Normal
FOODS_3_064,FOODS_3,FOODS,14.47,12.93,1.15,5282.53,31336.53,57.0,159.0,4796.0,A,0.89,Normal
FOODS_2_371,FOODS_2,FOODS,8.24,4.37,1.99,3007.91,30969.36,20.0,78.0,2747.0,A,0.53,Normal
FOODS_3_668,FOODS_3,FOODS,10.18,4.43,1.61,3716.8,30871.87,20.0,92.0,3400.0,A,0.44,Normal
FOODS_3_136,FOODS_3,FOODS,3.79,3.01,4.32,1384.1,30856.61,14.0,41.0,1267.0,A,0.79,Normal
HOBBIES_1_258,HOBBIES_1,HOBBIES,1.42,1.43,11.48,518.75,30756.97,7.0,17.0,476.0,A,1.0,Normal
FOODS_3_139,FOODS_3,FOODS,3.27,2.44,4.96,1192.79,30524.68,11.0,34.0,1098.0,A,0.75,Normal
HOUSEHOLD_1_409,HOUSEHOLD_1,HOUSEHOLD,5.45,5.74,2.97,1990.17,30492.89,25.0,64.0,1832.0,A,1.05,Normal
FOODS_3_572,FOODS_3,FOODS,5.87,4.69,2.74,2143.53,30363.51,21.0,63.0,1977.0,A,0.8,Normal
FOODS_1_012,FOODS_1,FOODS,2.81,2.78,5.54,1024.32,29296.36,13.0,33.0,962.0,A,0.99,Normal
FOODS_1_004,FOODS_1,FOODS,8.43,8.84,1.84,3077.23,29185.47,39.0,99.0,2895.0,A,1.05,Normal
HOBBIES_1_134,HOBBIES_1,HOBBIES,4.28,3.77,3.61,1561.27,29143.49,17.0,47.0,1470.0,A,0.88,Normal
HOUSEHOLD_1_165,HOUSEHOLD_1,HOUSEHOLD,0.86,1.22,17.91,312.53,28907.86,6.0,12.0,296.0,A,1.42,Normal
FOODS_3_288,FOODS_3,FOODS,10.16,11.5,1.5,3708.09,28725.0,51.0,123.0,3516.0,A,1.13,Normal
FOODS_3_227,FOODS_3,FOODS,5.84,4.15,2.61,2131.33,28685.7,19.0,60.0,2023.0,A,0.71,Normal
FOODS_3_300,FOODS_3,FOODS,3.81,2.9,3.99,1389.9,28671.06,13.0,40.0,1320.0,A,0.76,Normal
FOODS_3_330,FOODS_3,FOODS,3.8,3.12,3.99,1385.26,28575.2,14.0,41.0,1317.0,A,0.82,Normal
FOODS_3_772,FOODS_3,FOODS,2.82,3.65,5.36,1030.13,28538.17,16.0,36.0,980.0,A,1.29,Normal
HOUSEHOLD_1_027,HOUSEHOLD_1,HOUSEHOLD,2.66,2.27,5.68,970.88,28499.12,10.0,29.0,925.0,A,0.86,Normal
FOODS_2_030,FOODS_2,FOODS,3.37,2.34,4.45,1228.61,28264.2,11.0,35.0,1175.0,A,0.7,Normal
HOBBIES_1_141,HOBBIES_1,HOBBIES,1.0,1.39,14.94,365.19,28176.6,7.0,15.0,350.0,A,1.39,Normal
HOUSEHOLD_1_177,HOUSEHOLD_1,HOUSEHOLD,1.99,2.06,7.48,728.06,28134.63,9.0,23.0,698.0,A,1.03,Normal
FOODS_3_319,FOODS_3,FOODS,14.84,14.42,1.0,5414.78,27964.0,63.0,167.0,5204.0,A,0.97,Normal
FOODS_3_245,FOODS_3,FOODS,6.46,7.31,2.29,2356.53,27912.88,32.0,78.0,2267.0,A,1.13,Normal
FOODS_3_811,FOODS_3,FOODS,7.98,7.25,1.85,2912.25,27895.41,32.0,88.0,2802.0,A,0.91,Normal
HOBBIES_1_297,HOBBIES_1,HOBBIES,0.99,1.19,14.92,360.55,27776.5,6.0,13.0,348.0,A,1.2,Normal
FOODS_3_363,FOODS_3,FOODS,5.95,5.45,2.45,2171.6,27517.21,24.0,66.0,2104.0,A,0.92,Normal
FOODS_3_281,FOODS_3,FOODS,11.93,15.23,1.22,4352.7,27419.25,67.0,151.0,4225.0,A,1.28,Normal
FOODS_2_194,FOODS_2,FOODS,2.08,2.4,6.98,760.79,27412.54,11.0,26.0,739.0,A,1.15,Normal
FOODS_2_183,FOODS_2,FOODS,1.66,1.98,8.76,605.49,27407.88,9.0,21.0,588.0,A,1.19,Normal
HOUSEHOLD_1_066,HOUSEHOLD_1,HOUSEHOLD,4.76,4.41,3.04,1738.83,27327.78,20.0,54.0,1691.0,A,0.93,Normal
FOODS_3_228,FOODS_3,FOODS,9.0,4.55,1.6,3284.42,27104.11,20.0,83.0,3206.0,A,0.51,Normal
FOODS_3_127,FOODS_3,FOODS,4.08,3.11,3.52,1488.66,27099.28,14.0,43.0,1454.0,A,0.76,Normal
HOBBIES_1_055,HOBBIES_1,HOBBIES,1.72,1.75,8.35,627.95,27074.84,8.0,21.0,614.0,A,1.02,Normal
FOODS_1_170,FOODS_1,FOODS,2.59,3.56,5.54,946.87,27074.59,16.0,35.0,925.0,A,1.37,Normal
HOBBIES_1_085,HOBBIES_1,HOBBIES,0.97,1.32,14.72,354.54,26952.32,6.0,13.0,348.0,A,1.36,Normal
FOODS_3_327,FOODS_3,FOODS,4.5,3.5,3.16,1641.82,26797.24,16.0,48.0,1612.0,A,0.78,Normal
FOODS_3_682,FOODS_3,FOODS,4.05,5.36,3.5,1479.36,26757.51,24.0,53.0,1454.0,A,1.32,Normal
FOODS_3_230,FOODS_3,FOODS,3.92,2.9,3.55,1429.79,26225.15,13.0,41.0,1419.0,A,0.74,Normal
HOBBIES_1_099,HOBBIES_1,HOBBIES,0.93,1.35,14.94,339.44,26189.6,6.0,13.0,338.0,A,1.45,Normal
HOUSEHOLD_2_176,HOUSEHOLD_2,HOUSEHOLD,2.78,2.74,4.97,1016.0,26077.59,12.0,32.0,1012.0,A,0.99,Normal
HOUSEHOLD_1_106,HOUSEHOLD_1,HOUSEHOLD,1.53,2.8,9.02,557.86,25990.86,13.0,24.0,557.0,A,1.83,High
HOUSEHOLD_1_191,HOUSEHOLD_1,HOUSEHOLD,4.25,4.65,3.24,1550.81,25971.17,21.0,51.0,1547.0,A,1.09,Normal
FOODS_3_203,FOODS_3,FOODS,3.07,2.55,4.48,1119.98,25911.52,12.0,34.0,1119.0,A,0.83,Normal
FOODS_3_217,FOODS_3,FOODS,4.59,2.55,2.97,1676.68,25707.35,12.0,45.0,1681.0,A,0.56,Normal
FOODS_3_481,FOODS_3,FOODS,3.58,2.91,3.81,1305.09,25667.89,13.0,39.0,1310.0,A,0.81,Normal
HOUSEHOLD_1_222,HOUSEHOLD_1,HOUSEHOLD,1.31,2.07,10.37,478.66,25637.26,10.0,20.0,481.0,A,1.58,High
FOODS_2_082,FOODS_2,FOODS,2.26,2.08,5.99,825.07,25525.09,10.0,26.0,830.0,A,0.92,Normal
FOODS_3_298,FOODS_3,FOODS,0.72,0.99,18.81,261.02,25350.66,5.0,11.0,264.0,A,1.39,Normal
HOBBIES_1_108,HOBBIES_1,HOBBIES,1.04,1.23,12.77,380.68,25111.73,6.0,14.0,387.0,A,1.18,Normal
HOBBIES_1_345,HOBBIES_1,HOBBIES,1.73,1.84,7.68,630.47,24991.29,9.0,22.0,641.0,A,1.07,Normal
FOODS_3_727,FOODS_3,FOODS,3.36,3.33,3.93,1226.48,24901.89,15.0,39.0,1249.0,A,0.99,Normal
HOUSEHOLD_1_100,HOUSEHOLD_1,HOUSEHOLD,1.64,1.5,8.02,599.1,24812.22,7.0,19.0,612.0,A,0.92,Normal
FOODS_3_676,FOODS_3,FOODS,1.8,2.0,7.26,658.55,24694.33,9.0,22.0,674.0,A,1.11,Normal
FOODS_3_562,FOODS_3,FOODS,2.6,2.15,4.97,949.58,24387.32,10.0,29.0,978.0,A,0.83,Normal
FOODS_3_725,FOODS_3,FOODS,4.54,3.75,2.84,1658.09,24321.19,17.0,49.0,1709.0,A,0.83,Normal
FOODS_3_257,FOODS_3,FOODS,3.27,2.86,3.94,1192.79,24278.44,13.0,36.0,1231.0,A,0.88,Normal
HOBBIES_1_364,HOBBIES_1,HOBBIES,1.03,1.24,12.46,376.42,24224.13,6.0,14.0,389.0,A,1.2,Normal
HOBBIES_1_374,HOBBIES_1,HOBBIES,0.73,1.12,17.48,267.21,24122.4,5.0,11.0,277.0,A,1.53,High
HOBBIES_1_324,HOBBIES_1,HOBBIES,0.85,1.09,14.92,310.01,23893.0,5.0,11.0,323.0,A,1.28,Normal
HOUSEHOLD_1_497,HOUSEHOLD_1,HOUSEHOLD,0.83,1.3,15.27,302.07,23821.69,6.0,12.0,315.0,A,1.57,High
HOBBIES_1_300,HOBBIES_1,HOBBIES,1.33,1.5,9.47,486.21,23772.02,7.0,17.0,507.0,A,1.13,Normal
HOUSEHOLD_1_488,HOUSEHOLD_1,HOUSEHOLD,1.27,1.44,9.91,462.01,23642.25,7.0,16.0,483.0,A,1.14,Normal
FOODS_2_181,FOODS_2,FOODS,6.29,3.8,1.99,2294.76,23626.74,17.0,62.0,2399.0,A,0.6,Normal
FOODS_1_043,FOODS_1,FOODS,6.81,6.57,1.84,2485.68,23575.0,29.0,77.0,2602.0,A,0.96,Normal
HOBBIES_1_089,HOBBIES_1,HOBBIES,1.56,1.53,8.02,568.9,23554.42,7.0,18.0,596.0,A,0.98,Normal
HOBBIES_1_225,HOBBIES_1,HOBBIES,0.41,0.66,30.38,148.9,23359.36,3.0,6.0,157.0,A,1.61,High
HOUSEHOLD_1_310,HOUSEHOLD_1,HOUSEHOLD,1.66,1.91,7.48,604.14,23345.76,9.0,21.0,636.0,A,1.15,Normal
FOODS_3_313,FOODS_3,FOODS,6.58,8.97,1.88,2400.09,23293.2,40.0,87.0,2528.0,A,1.36,Normal
FOODS_2_060,FOODS_2,FOODS,1.68,1.75,7.37,611.69,23274.14,8.0,20.0,645.0,A,1.05,Normal
FOODS_3_493,FOODS_3,FOODS,1.7,1.65,7.26,620.02,23249.41,8.0,20.0,654.0,A,0.97,Normal
FOODS_3_400,FOODS_3,FOODS,4.15,2.43,2.97,1515.77,23234.42,11.0,41.0,1598.0,A,0.58,Normal
HOBBIES_1_029,HOBBIES_1,HOBBIES,1.48,1.5,8.35,538.5,23217.74,7.0,18.0,568.0,A,1.02,Normal
FOODS_3_305,FOODS_3,FOODS,3.48,3.05,3.53,1271.4,23209.16,14.0,39.0,1342.0,A,0.88,Normal
HOUSEHOLD_1_005,HOUSEHOLD_1,HOUSEHOLD,1.22,1.48,10.05,446.52,23183.5,7.0,16.0,472.0,A,1.21,Normal
FOODS_3_755,FOODS_3,FOODS,11.64,10.65,1.05,4247.17,22967.05,47.0,129.0,4504.0,A,0.92,Normal
HOBBIES_1_357,HOBBIES_1,HOBBIES,0.86,1.25,14.21,312.33,22924.49,6.0,12.0,332.0,A,1.46,Normal
FOODS_3_756,FOODS_3,FOODS,4.63,3.6,2.62,1688.68,22862.16,16.0,49.0,1795.0,A,0.78,Normal
FOODS_3_407,FOODS_3,FOODS,4.0,2.97,2.98,1461.36,22499.59,13.0,42.0,1566.0,A,0.74,Normal
FOODS_3_233,FOODS_3,FOODS,4.76,7.07,2.5,1739.22,22477.59,31.0,65.0,1865.0,A,1.48,Normal
FOODS_3_304,FOODS_3,FOODS,2.73,2.24,4.36,996.44,22423.45,10.0,30.0,1070.0,A,0.82,Normal
FOODS_3_501,FOODS_3,FOODS,14.5,12.29,0.82,5293.76,22307.75,54.0,156.0,5696.0,A,0.85,Normal
FOODS_3_295,FOODS_3,FOODS,14.38,11.39,0.82,5248.25,22126.07,50.0,151.0,5670.0,A,0.79,Normal
FOODS_3_349,FOODS_3,FOODS,7.47,4.92,1.57,2725.4,22077.96,22.0,75.0,2948.0,A,0.66,Normal
FOODS_2_222,FOODS_2,FOODS,4.65,5.5,2.52,1697.59,22074.75,24.0,57.0,1837.0,A,1.18,Normal
FOODS_1_218,FOODS_1,FOODS,11.91,9.26,0.98,4348.82,22028.17,41.0,125.0,4709.0,A,0.78,Normal
HOUSEHOLD_1_347,HOUSEHOLD_1,HOUSEHOLD,1.46,1.53,7.97,533.27,21949.38,7.0,18.0,579.0,A,1.05,Normal
HOUSEHOLD_1_490,HOUSEHOLD_1,HOUSEHOLD,0.91,1.17,12.74,331.5,21804.12,6.0,13.0,361.0,A,1.29,Normal
FOODS_3_224,FOODS_3,FOODS,2.94,2.86,3.93,1071.96,21772.19,13.0,34.0,1168.0,A,0.97,Normal
HOBBIES_1_166,HOBBIES_1,HOBBIES,1.01,1.43,11.45,367.9,21763.11,7.0,15.0,401.0,A,1.42,Normal
FOODS_3_030,FOODS_3,FOODS,8.68,10.28,1.33,3167.85,21760.8,45.0,106.0,3451.0,A,1.18,Normal
FOODS_3_678,FOODS_3,FOODS,2.36,2.6,4.9,859.93,21740.17,12.0,29.0,938.0,A,1.1,Normal
FOODS_3_634,FOODS_3,FOODS,2.89,2.51,3.98,1055.69,21698.96,11.0,32.0,1152.0,A,0.87,Normal
HOUSEHOLD_1_040,HOUSEHOLD_1,HOUSEHOLD,2.57,2.44,4.47,937.96,21644.84,11.0,29.0,1025.0,A,0.95,Normal
FOODS_2_233,FOODS_2,FOODS,2.57,2.0,4.45,939.12,21605.53,9.0,28.0,1027.0,A,0.78,Normal
HOUSEHOLD_1_357,HOUSEHOLD_1,HOUSEHOLD,0.94,1.5,12.09,344.09,21475.26,7.0,14.0,378.0,A,1.59,High
HOBBIES_1_226,HOBBIES_1,HOBBIES,0.76,1.06,14.88,278.25,21380.55,5.0,11.0,306.0,A,1.39,Normal
FOODS_3_636,FOODS_3,FOODS,3.24,4.75,3.5,1181.75,21374.49,21.0,44.0,1299.0,A,1.47,Normal
FOODS_3_393,FOODS_3,FOODS,3.2,4.09,3.5,1169.36,21150.34,18.0,41.0,1293.0,A,1.28,Normal
FOODS_3_226,FOODS_3,FOODS,6.89,3.75,1.61,2515.31,20892.19,17.0,66.0,2797.0,A,0.54,Normal
HOBBIES_1_337,HOBBIES_1,HOBBIES,3.0,2.56,3.67,1095.58,20764.86,12.0,34.0,1222.0,A,0.85,Normal
FOODS_3_477,FOODS_3,FOODS,6.79,3.32,1.61,2477.55,20573.82,15.0,63.0,2776.0,A,0.49,Normal
FOODS_1_055,FOODS_1,FOODS,2.75,4.67,3.94,1003.41,20392.56,21.0,41.0,1130.0,A,1.7,High
FOODS_2_212,FOODS_2,FOODS,2.31,3.55,4.67,843.08,20324.61,16.0,33.0,951.0,A,1.54,High
HOUSEHOLD_1_068,HOUSEHOLD_1,HOUSEHOLD,1.54,1.57,6.97,563.47,20282.7,7.0,18.0,636.0,A,1.02,Normal
FOODS_3_615,FOODS_3,FOODS,2.49,2.35,4.31,910.27,20279.74,11.0,29.0,1028.0,A,0.94,Normal
HOUSEHOLD_1_038,HOUSEHOLD_1,HOUSEHOLD,2.08,1.61,5.16,760.4,20271.44,8.0,23.0,859.0,A,0.77,Normal
FOODS_2_360,FOODS_2,FOODS,12.39,12.26,0.87,4521.93,20201.77,54.0,141.0,5113.0,A,0.99,Normal
FOODS_3_037,FOODS_3,FOODS,4.27,4.28,2.5,1557.79,20132.73,19.0,49.0,1765.0,A,1.0,Normal
FOODS_2_299,FOODS_2,FOODS,5.29,3.96,2.01,1932.47,20103.74,18.0,56.0,2191.0,A,0.75,Normal
